Time,Price,Trade Size,Type
16:58:34,1.56,5400,Buy Up
16:58:33,1.56,7000,Buy Up
16:58:32,1.55,1500,Sell Down
16:58:32,1.55,100,Sell Down
16:58:32,1.55,1600,Sell Down
16:58:32,1.56,1800,Buy Up
16:58:31,1.56,2000,Buy Up
16:58:30,1.55,25500,Sell Down
16:58:28,1.56,1100,Buy Up
16:58:27,1.56,400,Buy Up
16:58:27,1.56,100,Buy Up
16:58:24,1.56,100,Buy Up
16:58:23,1.56,4500,Buy Up
16:58:21,1.55,10600,Sell Down
16:58:21,1.55,600,Sell Down
16:58:19,1.55,3500,Sell Down
16:58:19,1.56,300,Buy Up
16:58:18,1.55,1500,Sell Down
16:58:17,1.56,1600,Buy Up
16:58:15,1.56,7800,Buy Up
16:58:15,1.55,26500,Sell Down
16:58:14,1.55,3200,Sell Down
16:58:13,1.56,2600,Buy Up
16:58:13,1.55,17400,Sell Down
16:58:11,1.56,300,Buy Up
16:58:06,1.56,1700,Buy Up
16:58:06,1.56,1000,Buy Up
16:58:04,1.55,6400,Sell Down
16:58:04,1.55,8600,Sell Down
16:58:03,1.56,300,Buy Up
16:58:01,1.56,1500,Buy Up
16:58:00,1.55,10500,Sell Down
16:58:00,1.55,100,Sell Down
16:58:00,1.55,100,Sell Down
16:58:00,1.55,3000,Sell Down
16:58:00,1.55,100,Sell Down
16:58:00,1.55,2600,Sell Down
16:58:00,1.55,1000,Sell Down
16:58:00,1.55,2000,Sell Down
16:58:00,1.55,100,Sell Down
16:58:00,1.55,1000,Sell Down
16:58:00,1.55,800,Sell Down
16:57:59,1.55,500,Sell Down
16:57:57,1.56,4500,Buy Up
16:57:56,1.55,2700,Sell Down
16:57:55,1.56,300,Buy Up
16:57:52,1.56,200,Buy Up
16:57:46,1.56,200,Buy Up
16:57:46,1.56,1800,Buy Up
16:57:46,1.56,1500,Buy Up
16:57:45,1.56,3000,Buy Up
16:57:45,1.55,1000,Sell Down
16:57:45,1.55,5000,Sell Down
16:57:45,1.55,8300,Sell Down
16:57:44,1.56,2800,Buy Up
16:57:42,1.55,700,Sell Down
16:57:42,1.55,1000,Sell Down
16:57:42,1.55,1000,Sell Down
16:57:42,1.55,100,Sell Down
16:57:42,1.55,100,Sell Down
16:57:42,1.55,100,Sell Down
16:57:42,1.55,18500,Sell Down
16:57:42,1.55,2400,Sell Down
16:57:39,1.55,2200,Sell Down
16:57:39,1.56,400,Buy Up
16:57:38,1.56,300,Buy Up
16:57:34,1.56,1000,Buy Up
16:57:34,1.56,4900,Buy Up
16:57:33,1.55,10000,Sell Down
16:57:33,1.56,3800,Buy Up
16:57:30,1.56,300,Buy Up
16:57:27,1.55,800,Sell Down
16:57:27,1.55,2600,Sell Down
16:57:27,1.56,1100,Buy Up
16:57:26,1.55,400,Sell Down
16:57:26,1.55,7900,Sell Down
16:57:26,1.55,7100,Sell Down
16:57:26,1.55,8200,Sell Down
16:57:25,1.55,39900,Sell Down
16:57:25,1.55,100,Sell Down
16:57:25,1.55,100,Sell Down
16:57:25,1.55,1100,Sell Down
16:57:24,1.55,1400,Sell Down
16:57:22,1.56,2900,Buy Up
16:57:22,1.56,300,Buy Up
16:57:20,1.56,2500,Buy Up
16:57:18,1.56,9600,Buy Up
16:57:16,1.56,900,Buy Up
16:57:14,1.56,300,Buy Up
16:57:12,1.56,3000,Buy Up
16:57:11,1.55,7200,Sell Down
16:57:09,1.55,700,Sell Down
16:57:08,1.55,8200,Sell Down
16:57:08,1.56,1300,Buy Up
16:57:06,1.56,300,Buy Up
16:57:04,1.56,3000,Buy Up
16:57:01,1.56,600,Buy Up
16:56:57,1.56,200,Buy Up
16:56:56,1.55,7000,Sell Down
16:56:54,1.56,4800,Buy Up
16:56:54,1.55,700,Sell Down
16:56:54,1.56,1600,Buy Up
16:56:51,1.55,13000,Sell Down
16:56:49,1.56,300,Buy Up
16:56:49,1.56,6200,Buy Up
16:56:46,1.56,300,Buy Up
16:56:46,1.56,800,Buy Up
16:56:41,1.56,300,Buy Up
16:56:39,1.55,6200,Sell Down
16:56:37,1.55,300,Sell Down
16:56:37,1.55,500,Sell Down
16:56:37,1.55,3600,Sell Down
16:56:35,1.56,4700,Buy Up
16:56:33,1.55,2200,Sell Down
16:56:33,1.55,2300,Sell Down
16:56:33,1.55,2200,Sell Down
16:56:33,1.55,1100,Sell Down
16:56:33,1.56,200,Buy Up
16:56:30,1.56,10000,Buy Up
16:56:28,1.56,2500,Buy Up
16:56:25,1.56,300,Buy Up
16:56:24,1.55,6700,Sell Down
16:56:23,1.56,700,Buy Up
16:56:20,1.56,3700,Buy Up
16:56:18,1.55,700,Sell Down
16:56:17,1.56,200,Buy Up
16:56:15,1.55,5000,Sell Down
